Jenis_Kulit,Ingredient,Manfaat
Berminyak,Niacinamide,"Mengontrol produksi sebum, mengecilkan tampilan pori-pori, mengurangi minyak berlebih, dan menghaluskan tekstur kulit."
Berminyak,Retinol,"Manfaat utama retinol untuk kulit adalah mengurangi tanda-tanda penuaan, seperti garis halus dan kerutan, serta mengatasi jerawat. "
Berminyak,Salicylic Acid,"Salicylic acid (asam salisilat) sangat bermanfaat untuk kulit berminyak karena dapat membersihkan pori-pori yang tersumbat, mengurangi produksi minyak berlebih (sebum), mengeksfoliasi kulit untuk mengangkat sel kulit mati, serta membantu mencegah dan mengatasi jerawat."
Berminyak,Glycolic Acid,"Glycolic acid bermanfaat untuk kulit berminyak karena kemampuannya mengeksfoliasi dan membersihkan pori-pori yang tersumbat, mengurangi produksi minyak berlebih, dan memperbaiki tekstur kulit"
Berminyak,Hyaluronic Acid,"Hyaluronic acid memberikan manfaat bagi kulit berminyak seperti menjaga hidrasi tanpa menyumbat pori-pori, membantu mengontrol produksi minyak berlebih sehingga mengurangi jerawat dan kemerahan, serta membuat kulit terasa lebih kenyal dan halus"
Berminyak,Tea Tree Oil,"Manfaat tea tree oil untuk kulit berminyak adalah membantu mengontrol produksi minyak berlebih, mengatasi jerawat karena sifat antibakteri dan anti-radangnya, mengecilkan pori-pori, serta meredakan peradangan dan kemerahan"
Berminyak,Centella Asiatica,"Centella asiatica bermanfaat untuk kulit berminyak dengan cara mengontrol minyak berlebih, mengurangi peradangan akibat jerawat, menenangkan kulit, memperbaiki skin barrier, serta menjaga kelembapan tanpa membuatnya terasa berat."
Berminyak,Aloe Vera,"Aloe vera bermanfaat untuk kulit berminyak karena kemampuannya mengontrol produksi minyak berlebih, melembapkan tanpa rasa lengket, serta sifat astringen dan anti-inflamasinya yang membantu membersihkan pori-pori, meredakan iritasi, dan mencegah jerawat."
Berminyak,Zinc PCA,"mengurangi produksi minyak berlebih, tetapi juga menjaga pori-pori tetap bersih dan meminimalkan munculnya jerawat"
Berminyak,Zinc Oxide,"Zinc oxide bermanfaat untuk kulit berminyak karena kemampuannya mengatur produksi sebum (minyak), melawan bakteri penyebab jerawat, meredakan peradangan, dan melindungi dari sinar UV"
Berminyak,Silica,"Silica bermanfaat untuk kulit berminyak karena menyerap minyak berlebih dan mengontrol kilap, menghasilkan tampilan kulit yang matte dan tahan lama."
Berminyak,Perlite,"Perlite bermanfaat untuk kulit berminyak karena kemampuannya menyerap minyak berlebih (efek mattifying), memberikan efek pengelupasan lembut, serta membantu menghasilkan busa yang lebih kaya pada produk perawatan kulit"
Berminyak,Silica Silylate ,"Silica silylate bermanfaat untuk kulit berminyak karena menyerap minyak berlebih dan mengontrol kilap, memberikan hasil akhir yang tampak lebih matte dan mengurangi tampilan pori-pori"
Berminyak,Sodium Hyaluronate,"Sodium hyaluronate bermanfaat untuk kulit berminyak karena menghidrasi tanpa rasa lengket, membantu mengontrol produksi minyak berlebih, meredakan peradangan, dan memperkuat lapisan pelindung kulit"
Berminyak,Glycerin,"Gliserin bermanfaat untuk kulit berminyak karena sifatnya yang menghidrasi tanpa menyumbat pori-pori (non-komedogenik), membantu menyeimbangkan produksi minyak berlebih, dan memperkuat skin barrier."
Berminyak,Centella Asiatica Extract,"Centella asiatica (pegagan) extract bermanfaat untuk kulit berminyak karena dapat mengontrol produksi minyak berlebih, meredakan peradangan jerawat, dan memperbaiki kerusakan kulit."
Berminyak,Propylene Glycol,"Propylene glycol bermanfaat untuk kulit berminyak karena bersifat melembapkan, menghaluskan tekstur kulit, dan membantu mengatasi jerawat. Kandungan ini menarik air dan menguncinya di dalam kulit (humektan) tanpa terasa berminyak, sekaligus"
Berminyak,Panthenol,"Panthenol baik untuk wajah berminyak karena memberikan kelembapan tanpa menyumbat pori-pori, membantu menyeimbangkan produksi minyak, memperbaiki skin barrier, menenangkan kulit, serta memberikan efek anti-inflamasi"
Berminyak,Trehalose,"Trehalosa bermanfaat untuk kulit berminyak karena menghidrasi kulit tanpa menyumbat pori-pori, memiliki tekstur ringan yang cepat meresap, membantu menyeimbangkan produksi minyak alami kulit, dan mengurangi kilau berlebih"
Berminyak,Benzoyl Peroxide,"Benzoyl peroxide bermanfaat untuk membunuh bakteri penyebab jerawat di kulit, sehingga nantinya peradangan atau infeksi yang terjadi bisa cepat mereda"
Kombinasi,Sodium Hyaluronate,"Menghidrasi kulit tanpa membuatnya terlalu berminyak, menjaga keseimbangan kelembapan di area kering dan berminyak."
Kombinasi,Niacinamide,"Mengontrol produksi sebum di zona T, sambil menjaga kelembapan di area yang lebih kering, serta mengecilkan pori-pori."
Kombinasi,Lactic Acid,"Eksfoliasi lembut yang meratakan tekstur kulit, mencerahkan, dan membantu mengatasi komedo tanpa membuat kulit kering."
Kombinasi,Ceramide NP,"Memperkuat skin barrier, menjaga kelembapan kulit, dan menenangkan kulit tanpa memicu kelebihan minyak."
Kombinasi,Squalane,"Melembapkan kulit dengan tekstur ringan, tidak menyumbat pori-pori, dan membantu menyeimbangkan produksi minyak."
Kombinasi,Panthenol,"Menenangkan, melembapkan, dan memperbaiki skin barrier, cocok untuk area kering maupun berminyak pada kulit kombinasi."
Kombinasi,Propylene Glycol,"Menarik air ke dalam kulit untuk hidrasi ringan tanpa rasa lengket atau berat, cocok untuk kulit kombinasi."
Kombinasi,Trehalose,"Memberikan hidrasi yang tahan lama dan melindungi kulit dari dehidrasi, baik untuk area kering maupun berminyak."
Normal,Glycerin,"Menjaga kelembapan alami kulit, membuat kulit terasa halus dan lembut."
Normal,Ascorbic Acid,"Antioksidan kuat yang mencerahkan kulit, meratakan warna kulit, dan melindungi dari kerusakan akibat radikal bebas."
Normal,Ethyl Ascorbic Acid,"Bentuk vitamin C yang stabil, efektif mencerahkan kulit, merangsang produksi kolagen, dan memberikan perlindungan antioksidan."
Normal,Ceramide NP,"Memperkuat dan memperbaiki skin barrier (lapisan pelindung kulit), mengunci kelembapan, dan melindungi kulit dari iritasi eksternal."
Normal,Tocopherol,"Sebagai antioksidan kuat yang melindungi kulit dari kerusakan akibat radikal bebas (polusi, sinar UV) dan menjaga kelembapan kulit."
Kering,Glycerin,"Bekerja sebagai humectant, yaitu menarik air dari udara ke dalam lapisan kulit, sehingga memberikan hidrasi yang intensif."
Kering,Sodium Hyaluronate,"Bentuk garam dari Hyaluronic Acid yang lebih mudah menyerap. Sangat kuat dalam menghidrasi, menarik, dan menahan air di kulit sehingga kulit terasa kenyal."
Kering,Butyrospermum Parkii (Shea) Butter,"Sebagai emollient yang kaya akan asam lemak dan vitamin. Sangat efektif untuk melembapkan, menutrisi, melembutkan kulit kering, dan memperbaiki skin barrier."
Kering,Ceramide NP,"Sangat penting untuk kulit kering karena berfungsi memperbaiki dan memperkuat skin barrier yang rusak, mencegah air menguap dari kulit (Transepidermal Water Loss)."
Kering,Hyaluronic Acid,"Humectant super yang mampu menahan air hingga 1000 kali beratnya, memberikan hidrasi mendalam, dan membuat kulit tampak lebih 'plump' atau berisi."
Kering,Niacinamide,"Membantu meningkatkan produksi ceramide alami kulit, sehingga memperkuat skin barrier. Ini sangat membantu kulit kering untuk menahan kelembapan lebih baik."
Kering,Squalane,"Minyak (emolien) yang sangat ringan dan mirip dengan sebum alami kulit. Berfungsi untuk melembapkan, melembutkan, dan mengunci hidrasi tanpa terasa berat."
Kering,Panthenol,"Bekerja sebagai humectant (menarik air) sekaligus emollient (melembutkan). Sangat baik untuk menenangkan kulit yang iritasi, kemerahan, dan membantu proses perbaikan kulit."
Kering,Trehalose,"Gula alami yang membantu kulit menahan kelembapan dan melindunginya dari dehidrasi, terutama dalam kondisi lingkungan yang ekstrem."
Kering,Propylene Glycol,Berfungsi sebagai humectant yang membantu menarik dan menahan air di dalam kulit.
Kering,Lactic Acid,"Termasuk dalam kelompok AHA (Alpha Hydroxy Acid). Dalam konsentrasi rendah, ia berfungsi sebagai humectant yang menghidrasi. Dalam konsentrasi lebih tinggi, ia mengeksfoliasi sel kulit mati dengan lembut sehingga kulit lebih cerah dan halus."
Kering,Allantoin,"Bahan yang sangat baik untuk menenangkan (soothing) kulit yang iritasi, kemerahan, atau sensitif. Juga membantu regenerasi sel kulit."
Kering,Aloevera,"Terkenal dengan kemampuannya untuk menenangkan, mendinginkan, dan melembapkan kulit. Sangat baik untuk meredakan iritasi atau kemerahan pada kulit kering."
