Jenis_Kulit,Ingredient,Efek Samping
Berminyak,Mineral Oil,"risiko mineral oil lebih besar daripada manfaatnya jika digunakan sebagai pelembap yang dibiarkan di wajah. Sifat oklusifnya berpotensi tinggi memerangkap sebum dan kotoran, yang dapat memicu komedo dan jerawat."
Berminyak,Petroleum Jelly,petroleum jelly adalah produk dengan risiko penyumbatan pori yang jauh lebih tinggi daripada mineral oil karena sifat oklusifnya yang sangat kuat. Penggunaannya di seluruh wajah sangat tidak disarankan dan berpotensi besar memperburuk kondisi jerawat dan komedo.
Berminyak,Cocos Nucifera Oil,Efek samping utama dari Cocos Nucifera Oil untuk kulit wajah berminyak adalah sangat komedogenik atau berpotensi tinggi menyumbat pori-pori.
Berminyak,Fragrance,"Efek samping utama dari fragrance untuk kulit wajah berminyak adalah risiko iritasi dan peradangan (inflamasi), yang secara tidak langsung dapat memperburuk kondisi kulit."
Berminyak,Parfum,
Berminyak,Benzoyl Peroxide,
Berminyak,Coconut Oil,
Kombinasi,Alcohol Denat,
Kombinasi,Mineral Oil,
Kombinasi,Cocos Nucifera Oil,
Kombinasi,Petrolatum ,
Kombinasi,Sodium Laureth Sulfate,
Kombinasi,Parfum,
Kombinasi,Fragrance,
Normal,Alcohol Denat,
Normal,Parfum,
Normal,Fragrance,
Normal,Harsh Physical Scrubs,
Kering,Alcohol Denat,
Kering,Benzoyl Peroxide,
Kering,Salicylic Acid,
Kering,Glycolic Acid,
Kering,Sodium Laureth Sulfate,
Kering,Parfum,
Kering,Fragrance,
Kering,Ethanol,
Kering,Essential Oils,
