Masalah_Kulit,Ingredient,Manfaat
Bopeng,Retinol ,Merangsang produksi kolagen dan mempercepat regenerasi sel kulit untuk membantu memperbaiki tekstur kulit dan menyamarkan kedalaman bopeng seiring waktu.
Bopeng,Retinaldehyde ,Bentuk retinoid yang lebih kuat dari Retinol. Bekerja lebih cepat dalam merangsang kolagen dan pergantian sel untuk memperbaiki tekstur kulit.
Bopeng,Tretinoin ,Retinoid resep (obat) yang paling kuat. Sangat efektif dalam merombak kolagen dan memperbaiki tekstur kulit yang rusak akibat bopeng.
Bopeng,Ascorbic Acid,Antioksidan kuat yang penting untuk sintesis kolagen. Membantu mencerahkan kulit dan mendukung proses perbaikan jaringan kulit.
Bopeng,Ethyl Ascorbic Acid,"Turunan Vitamin C yang stabil. Membantu merangsang produksi kolagen dan mencerahkan kulit, mendukung perbaikan tekstur."
Bopeng,Glycolic Acid,AHA (Alpha Hydroxy Acid) yang mengeksfoliasi permukaan kulit. Merangsang pergantian sel dan produksi kolagen di lapisan dermis untuk membantu menghaluskan tekstur kulit.
Bopeng,Lactic Acid,"AHA yang lebih lembut. Selain mengeksfoliasi, ia juga menghidrasi. Membantu menghaluskan tekstur permukaan kulit."
Kemerahan,Centella Asiatica,"Sangat efektif dalam menenangkan kulit (soothing), mengurangi iritasi, peradangan, dan kemerahan. Juga membantu proses penyembuhan luka."
Kemerahan,Madecassoside,Salah satu komponen aktif utama dalam Centella Asiatica. Memiliki sifat anti-inflamasi kuat untuk meredakan kemerahan dan menenangkan kulit sensitif.
Kemerahan,Asiaticoside,"Komponen aktif lain dari Centella Asiatica. Membantu menenangkan kulit, meredakan peradangan, dan merangsang sintesis kolagen ringan."
Kemerahan,Niacinamide,"Memperkuat skin barrier dan memiliki sifat anti-inflamasi, sehingga membantu mengurangi kemerahan dan menenangkan kulit yang reaktif atau iritasi."
Kemerahan,Azelaic Acid,Memiliki sifat anti-inflamasi dan anti-bakteri. Sangat efektif untuk mengurangi kemerahan dan peradangan yang terkait dengan rosacea atau jerawat.
Hiperpigmentasi,Ascorbic Acid,"Menghambat produksi melanin (pigmen gelap), mencerahkan noda hitam, meratakan warna kulit, dan melindungi dari kerusakan akibat sinar UV."
Hiperpigmentasi,Ethyl Ascorbic Acid,Turunan Vitamin C yang stabil. Bekerja efektif untuk menghambat tirosinase (enzim pembuat melanin) sehingga mencerahkan bintik hitam dan meratakan warna kulit.
Hiperpigmentasi,Niacinamide,"Bekerja dengan cara menghambat transfer melanosom (kantong pigmen) ke sel kulit permukaan, sehingga efektif mencerahkan noda hitam dan meratakan warna kulit."
Hiperpigmentasi,Alpha Arbutin ,Dianggap sebagai salah satu pencerah yang lebih aman dan efektif. Bekerja dengan menghambat enzim tirosinase untuk mengurangi produksi melanin.
Hiperpigmentasi,Kojic Acid,Berasal dari jamur. Bekerja sebagai penghambat tirosinase yang kuat untuk mencerahkan bintik-bintik penuaan (age spots) dan melasma.
Hiperpigmentasi,Tranexamic Acid,"Efektif mengatasi hiperpigmentasi, terutama yang disebabkan oleh paparan sinar UV dan melasma, dengan cara mengganggu jalur produksi melanin."
Hiperpigmentasi,Glycolic Acid,"Mengeksfoliasi sel kulit mati di permukaan yang mengandung pigmen berlebih, sehingga mempercepat proses pencerahan noda hitam dan meratakan warna kulit."
